stage,amount,level_dbfs,freq_hz,factor,worst_alias_dbc,worst_alias_hz
IRON,1,-12,15000,2,-123.006,9000
IRON,1,-12,15000,4,-146.987,9000
IRON,1,-12,15000,8,-143.32,3000
IRON,1,-3,1000,1,-159.378,994.629
IRON,1,-3,1000,2,-158.761,994.629
IRON,1,-3,1000,4,-158.412,994.629
IRON,1,-3,1000,8,-158.607,994.629
IRON,1,-3,5000,1,-112.52,12998.3
IRON,1,-3,5000,2,-135.845,10995.8
IRON,1,-3,5000,4,-159.48,5006.1
IRON,1,-3,5000,8,-159.213,4995.12
IRON,1,-3,10000,1,-105.121,18000.7
IRON,1,-3,10000,2,-116.547,6002.2
IRON,1,-3,10000,4,-140.643,2004.64
IRON,1,-3,10000,8,-159.021,10004.9
IRON,1,-3,15000,1,-105.283,3000
IRON,1,-3,15000,2,-113.778,9000
IRON,1,-3,15000,4,-125.986,3000
IRON,1,-3,15000,8,-142.825,3000
IRON_HYST,0.5,-12,1000,1,-135.867,1011.47
IRON_HYST,0.5,-12,1000,2,-150.719,976.318
IRON_HYST,0.5,-12,1000,4,-158.803,1004.88
IRON_HYST,0.5,-12,1000,8,-159.073,993.164
IRON_HYST,0.5,-12,5000,1,-130.676,2997.8
IRON_HYST,0.5,-12,5000,2,-138.157,995.361
IRON_HYST,0.5,-12,5000,4,-158.872,4995.12
IRON_HYST,0.5,-12,5000,8,-159.153,5005.37
IRON_HYST,0.5,-12,10000,1,-122.292,1998.78
IRON_HYST,0.5,-12,10000,2,-142.968,6002.2
IRON_HYST,0.5,-12,10000,4,-148.272,2004.64
IRON_HYST,0.5,-12,10000,8,-158.892,10005.6
IRON_HYST,0.5,-12,15000,1,-137.181,3000
IRON_HYST,0.5,-12,15000,2,-143.119,9000
IRON_HYST,0.5,-12,15000,4,-143.603,9000
IRON_HYST,0.5,-12,15000,8,-145.239,3000
IRON_HYST,0.5,-3,1000,1,-129.066,1011.47
IRON_HYST,0.5,-3,1000,2,-141.69,1023.19
IRON_HYST,0.5,-3,1000,4,-157.324,952.881
IRON_HYST,0.5,-3,1000,8,-158.832,994.629
IRON_HYST,0.5,-3,5000,1,-121.339,2997.8
IRON_HYST,0.5,-3,5000,2,-134.471,995.361
IRON_HYST,0.5,-3,5000,4,-150.274,1018.8
IRON_HYST,0.5,-3,5000,8,-159.099,4995.12
IRON_HYST,0.5,-3,10000,1,-113.315,1998.78
IRON_HYST,0.5,-3,10000,2,-133.575,6002.2
IRON_HYST,0.5,-3,10000,4,-142.211,2004.64
IRON_HYST,0.5,-3,10000,8,-159.19,10004.9
IRON_HYST,0.5,-3,15000,1,-126.805,3000
IRON_HYST,0.5,-3,15000,2,-133.627,9000
