stage,freq_hz,amount,level_dbfs,thd_percent,h2_dbc,h3_dbc,h4_dbc,h5_dbc
IRON,50,0.5,-18,0.0715063,-170.044,-62.9133,-189.713,-106.382
IRON,50,0.5,-12,0.269756,-170.046,-51.3826,-189.701,-84.8627
IRON,50,0.5,-6,0.878229,-170.056,-41.1434,-189.69,-65.7005
IRON,50,0.5,0,1.91537,-170.096,-34.4817,-189.859,-49.9323
IRON,50,0.75,-40,0.00088318,-170.006,-101.079,-189.581,-181.731
IRON,50,0.75,-30,0.00882219,-170.006,-81.0885,-189.58,-145.254
IRON,50,0.75,-24,0.0350216,-170.006,-69.1133,-189.576,-121.172
IRON,50,0.75,-18,0.137736,-170.007,-57.2194,-189.561,-98.1074
IRON,50,0.75,-12,0.520719,-170.008,-45.6711,-189.505,-77.1271
IRON,50,0.75,-6,1.69661,-170.018,-35.4267,-189.357,-59.3488
IRON,50,0.75,0,3.69646,-170.07,-28.7712,-189.346,-44.2678
IRON,50,1,-40,0.00142921,-169.97,-96.8981,-189.45,-166.549
IRON,50,1,-30,0.0142825,-169.97,-76.9039,-189.447,-138.696
IRON,50,1,-24,0.0567205,-169.969,-64.9252,-189.437,-114.816
IRON,50,1,-18,0.223401,-169.969,-53.0189,-189.401,-91.8457
IRON,50,1,-12,0.846672,-169.967,-41.4504,-189.26,-71.1572
IRON,50,1,-6,2.75813,-169.968,-31.2097,-188.83,-54.4098
IRON,50,1,0,5.96825,-170.001,-24.6101,-188.334,-40.1708
IRON,1000,0.25,-40,3.80297e-07,-179.598,-180.396,-184.05,-184.103
IRON,1000,0.25,-30,8.73589e-07,-180.243,-163.871,-191.443,-170.929
IRON,1000,0.25,-24,2.32129e-06,-189.472,-153.613,-186.698,-164.968
IRON,1000,0.25,-18,7.26557e-06,-178.251,-142.845,-180.247,-169.389
IRON,1000,0.25,-12,2.72521e-05,-186.955,-131.35,-200.506,-150.236
IRON,1000,0.25,-6,9.80657e-05,-189.83,-120.38,-181.428,-133.858
IRON,1000,0.25,0,0.000318998,-187.929,-110.296,-183.447,-121.872
IRON,1000,0.5,-40,3.54462e-07,-188.31,-182.519,-188.688,-177.13
IRON,1000,0.5,-30,4.48795e-06,-193.219,-147.313,-193.591,-179.721
IRON,1000,0.5,-24,1.57892e-05,-180.201,-136.036,-181.654,-175.072
IRON,1000,0.5,-18,5.6154e-05,-179.012,-125.031,-185.486,-148.847
IRON,1000,0.5,-12,0.000185341,-181.916,-114.752,-190.998,-130.741
IRON,1000,0.5,-6,0.00056229,-192.334,-105.325,-188.304,-116.939
IRON,1000,0.5,0,0.00156957,-191.323,-96.6723,-193.165,-106.195
IRON,1000,0.75,-40,3.6497e-06,-178.782,-149.839,-180.441,-160.053
IRON,1000,0.75,-30,2.06662e-05,-184.353,-133.697,-185.866,-170.634
IRON,1000,0.75,-24,7.83889e-05,-186.861,-122.117,-185.972,-155.947
IRON,1000,0.75,-18,0.0002612,-199.319,-111.685,-186.832,-134.248
IRON,1000,0.75,-12,0.000724398,-186.541,-102.954,-183.388,-117.539
